feature,no_risk_count,high_risk_count,no_risk_mean,high_risk_mean,no_risk_median,high_risk_median,mean_difference,median_difference,relative_difference_percent,cohens_d
device_hours_per_day,2795,705,6.773763864042933,9.47404255319149,6.48,9.78,2.700278689148557,3.299999999999999,39.86378538352074,0.8842207882900327
phone_unlocks,2795,705,137.06404293381038,186.92482269503546,129.0,183.0,49.860779761225075,54.0,36.377724379035975,0.7699145654298005
notifications_per_day,2795,705,331.8844364937388,347.93333333333334,268.0,278.0,16.048896839594534,10.0,4.835688292330426,0.06697466461420275
social_media_mins,2795,705,157.22146690518784,167.85248226950355,119.0,119.0,10.631015364315715,0.0,6.761809041462978,0.0801140578397438
sleep_hours,2795,705,7.445215701502349,6.498306495307754,7.441119361414652,6.509527693777903,-0.9469092061945945,-0.9315916676367486,-12.718358260641399,-0.7667552236597032
digital_dependence_score,2795,705,34.5200234029583,45.26392350938824,33.4,45.0,10.74390010642994,11.600000000000001,31.123675615785384,0.7991927903930276
