k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,43202.432146933825,0.18077466816921145,752.8023477801746,1.906513661496045
3,38902.05905383839,0.18595999746385028,611.177025546817,1.795865315731428
4,35740.78802697859,0.14063640244579342,546.4364226613823,1.9614818868549015
5,33054.139273760244,0.14334249608132485,514.0327134701554,1.780576931057143
6,30676.959005365483,0.15547271032858395,497.11384509733654,1.6446840704576495
7,28584.283380893783,0.15205815736738745,487.083508078989,1.5418992011263988
8,27317.685419390866,0.13649686597362687,459.86244110181195,1.58897041834604
