cluster,cluster_size,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,social_media_hours,study_hours,notifications_per_device_hour,unlocks_per_device_hour,device_to_sleep_ratio,activity_sleep_interaction,high_risk_flag,productivity_score,digital_dependence_score,anxiety_score,depression_score,stress_level,happiness_score,focus_score,gender_mode,region_mode,income_level_mode,education_level_mode,daily_role_mode,device_type_mode
0,463,6.969827213822895,142.14902807775377,293.6133909287257,424.9697624190065,94.43196544276458,3.367170626349892,7.366794760101202,2.7780842134257155,7.082829373650108,1.573866090712743,47.84510691576386,20.77102598694524,0.987570501217981,24.77607415231209,0.19438444924406048,65.26108839278272,34.396518246602945,6.025205820946734,8.4622030237581,4.7694044803017706,6.721622912774661,26.213366734628558,Female,Europe,Low,Bachelor,Full-time Employee,Laptop
1,2000,5.462305000000001,110.5315,343.348,112.7265,110.32,3.484,7.814249349744008,3.2189900759624557,1.878775,1.8386666666666667,72.82741874428778,20.88048522626843,0.7188119004959296,27.222741501227368,0.114,65.01876086295958,29.66903382042784,5.327818720695421,5.958,4.414697899147228,7.061756373690337,44.639169194865815,Female,Europe,Low,Bachelor,Full-time Employee,Android
2,1037,11.051330761812922,219.86306653809064,337.77338476374155,130.71938283510124,109.97685631629702,3.0838958534233365,6.124743771915292,1.6940533765935366,2.178656380585021,1.832947605271617,31.863944196268847,20.231846111755083,1.892583415897487,18.746696399619488,0.37319189971070393,65.85742360963992,51.235174442000314,11.280805555217027,14.533269045323047,6.4901938949927445,5.042781294658744,42.60363741112108,Female,Europe,Lower-Mid,Bachelor,Full-time Employee,Tablet
