model,target,cv_best_r2,cv_best_mse,cv_best_mae,n_train,n_test,feature_count,best_params,mae,mse,rmse,r2
gradient_boosting,productivity_score,0.01192629668534444,94.95510024797314,7.614591759257732,2625,875,22,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",7.167095895557417,85.203130964447,9.230554206787748,-0.004064132435596557
gradient_boosting,digital_dependence_score,0.9804479544171674,3.897547423736962,1.126589679303739,2625,875,22,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.9982436703963041,3.1470707162349245,1.7739985107758474,0.9839013792481809
