dataset,model,threshold,policy,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,tn,fp,fn,tp,best_params
validation,gradient_boosting,0.5,default_0_50,0.817351598173516,0.6428571428571429,0.20454545454545456,0.3103448275862069,0.587987012987013,0.7232828282828283,0.4805072212155515,510,15,105,27,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}"
validation,gradient_boosting,0.35,max_f1,0.8249619482496194,0.5752212389380531,0.49242424242424243,0.5306122448979592,0.7004978354978355,0.7232828282828283,0.4805072212155515,477,48,67,65,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}"
validation,gradient_boosting,0.14,recall_at_least_60_best_precision,0.7503805175038052,0.4175257731958763,0.6136363636363636,0.49693251533742333,0.6991991341991342,0.7232828282828283,0.4805072212155515,412,113,51,81,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}"
validation,gradient_boosting,0.12,recall_at_least_70_best_precision,0.5205479452054794,0.26356589147286824,0.7727272727272727,0.3930635838150289,0.6149350649350649,0.7232828282828283,0.4805072212155515,240,285,30,102,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}"
