model,target,cv_best_r2,cv_best_mse,cv_best_mae,n_train,n_test,feature_count,best_params,mae,mse,rmse,r2
gradient_boosting,digital_dependence_score,0.9804479544171674,3.897547423736962,1.126589679303739,2625,875,22,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.9982436703963041,3.1470707162349245,1.7739985107758474,0.9839013792481809
ridge,digital_dependence_score,0.9691682690381247,6.046784327320009,0.8964669949689631,2625,875,22,{'model__alpha': 0.1},0.7651909784851837,3.65406659162685,1.9115612968531377,0.9813078772087873
linear_regression,digital_dependence_score,0.9691681873899374,6.046824545522494,0.8963242133764874,2625,875,22,{},0.765067019706541,3.653820437172747,1.911496910060999,0.9813091363947288
random_forest,digital_dependence_score,0.9679737195450674,6.3480782566184715,1.4856393975504771,2625,875,22,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",1.2680123597334039,4.387505183053647,2.094637243785579,0.977556023249098
