model,target,cv_best_r2,cv_best_mse,cv_best_mae,n_train,n_test,feature_count,best_params,mae,mse,rmse,r2
gradient_boosting,productivity_score,0.01192629668534444,94.95510024797314,7.614591759257732,2625,875,22,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",7.167095895557417,85.203130964447,9.230554206787748,-0.004064132435596557
random_forest,productivity_score,0.007173899276570217,95.41558676539356,7.632956534851266,2625,875,22,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",7.208845839517502,85.92079941832728,9.269347302713783,-0.01252139386912754
ridge,productivity_score,0.004319968674414176,95.67250119773318,7.662625821930455,2625,875,22,{'model__alpha': 100},7.174703356745952,85.58842952896175,9.251401489988517,-0.008604628360207922
linear_regression,productivity_score,0.00018269625349385255,96.0730386806337,7.687985142926664,2625,875,22,{},7.1999234488239,85.82321632049393,9.264082054930965,-0.011371439784607862
