dataset,model,threshold_policy,threshold,best_params,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,tn,fp,fn,tp
validation,gradient_boosting,default_0_50,0.5,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.817351598173516,0.6428571428571429,0.20454545454545456,0.3103448275862069,0.587987012987013,0.7232828282828283,0.4805072212155515,510,15,105,27
validation,random_forest,default_0_50,0.5,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.8082191780821918,0.5357142857142857,0.3409090909090909,0.4166666666666667,0.6333116883116883,0.7097979797979799,0.4758594798025633,486,39,87,45
validation,logistic_regression,default_0_50,0.5,"{'model__C': 0.01, 'model__class_weight': None}",0.8112633181126332,0.6428571428571429,0.13636363636363635,0.225,0.5586580086580086,0.7200865800865801,0.45434461975622414,515,10,114,18
test,gradient_boosting,default_0_50,0.5,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.8274285714285714,0.6811594202898551,0.26704545454545453,0.3836734693877551,0.617785960462999,0.7530806997008714,0.5083936873428179,677,22,129,47
test,gradient_boosting,max_f1,0.35,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.8297142857142857,0.5957446808510638,0.4772727272727273,0.5299684542586751,0.6978638314475225,0.7530806997008714,0.5083936873428179,642,57,92,84
test,gradient_boosting,recall_at_least_60_best_precision,0.14,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.776,0.45934959349593496,0.6420454545454546,0.5355450236966824,0.7258868188320978,0.7530806997008714,0.5083936873428179,566,133,63,113
test,gradient_boosting,recall_at_least_70_best_precision,0.12,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.488,0.2536231884057971,0.7954545454545454,0.38461538461538464,0.6030205488359994,0.7530806997008714,0.5083936873428179,287,412,36,140
