model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,best_params,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
logistic_regression,grid,0.019947147369384764,0.0013675577187840142,0.02134542465209961,0.0020468351206063672,0.01,balanced,"{'model__C': 0.01, 'model__class_weight': 'balanced'}",0.6751269035532995,0.7106598984771574,0.6954314720812182,0.712468193384224,0.7251908396946565,0.7037754614381112,0.01715773595303192,6,0.3237410071942446,0.38028169014084506,0.35507246376811596,0.37857142857142856,0.38016528925619836,0.3635663757861665,0.022082951778703192,6,0.569620253164557,0.675,0.6125,0.6708860759493671,0.5822784810126582,0.6220569620253165,0.04384180458779613,1,0.41284403669724773,0.4864864864864865,0.44954128440366975,0.4840182648401826,0.46,0.45857801448551727,0.026837922442880833,1,0.6942334739803095,0.7345143312101912,0.7036624203821656,0.720672417963396,0.7102313956300894,0.7126628078332303,0.013915473503725236,1,0.4492400960300613,0.5014180389994924,0.42910723440938003,0.4051722930525167,0.4270515812793564,0.4423978487541613,0.03264380356743329,2,0.6356037773759293,0.6973726114649681,0.6645302547770701,0.6969080061275498,0.6717124889139725,0.673225427731898,0.022966212547099497,1,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.017891073226928712,0.003312202383563404,0.019048213958740234,0.0033143187359216822,0.01,,"{'model__C': 0.01, 'model__class_weight': None}",0.8121827411167513,0.8248730964467005,0.8020304568527918,0.8015267175572519,0.811704834605598,0.8104635693158186,0.008521918428440956,1,0.6470588235294118,0.7894736842105263,0.55,0.5217391304347826,0.7272727272727273,0.6471088730894896,0.10182503726885286,1,0.13924050632911392,0.1875,0.1375,0.1518987341772152,0.10126582278481013,0.14348101265822782,0.027728706946268396,8,0.22916666666666666,0.30303030303030304,0.22,0.23529411764705882,0.17777777777777778,0.23305377302436128,0.040355123918057324,8,0.6865983524211373,0.7357882165605096,0.7007563694267516,0.7204305409981456,0.7170845763121825,0.7121316111437453,0.016937428999987948,2,0.44628942687051665,0.5038494637249917,0.4261846905452473,0.40363342545028386,0.43467304605461926,0.4429260105291317,0.03351199838384011,1,0.5600964436407474,0.5873805732484076,0.5544187898089172,0.5584334435217286,0.5458558413287108,0.5612370183097023,0.013969361132205213,8,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.020059680938720702,0.002464478890148474,0.020414447784423827,0.0026527001040756843,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.6852791878172588,0.700507614213198,0.6954314720812182,0.7099236641221374,0.7404580152671756,0.7063199907001975,0.01883321601622388,5,0.3357664233576642,0.3680555555555556,0.35074626865671643,0.37410071942446044,0.4,0.3657337933988793,0.021781818613442132,5,0.5822784810126582,0.6625,0.5875,0.6582278481012658,0.5822784810126582,0.6145569620253164,0.03747415388747018,2,0.42592592592592593,0.4732142857142857,0.4392523364485981,0.47706422018348627,0.4742268041237113,0.4579367144792014,0.021158588063146824,2,0.6991762105686157,0.7307722929936306,0.7054140127388535,0.7166411352092237,0.6931790695799402,0.7090365442180526,0.013357252673154178,4,0.4404701201417361,0.4977110373631536,0.4296033524520615,0.4023341886896679,0.4065045890738471,0.4353246575440933,0.034264374753065,3,0.6466947960618847,0.6863455414012738,0.6552149681528663,0.6905788922034991,0.6812666290413609,0.6720201653721769,0.017657456298361983,2,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.019394063949584962,0.0040196929580764975,0.021915531158447264,0.0031961966482836708,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.799492385786802,0.8248730964467005,0.8096446700507615,0.8091603053435115,0.7989821882951654,0.8084305291845884,0.009397087659655601,2,0.5,0.7037037037037037,0.5862068965517241,0.5666666666666667,0.5,0.5713154533844189,0.07475533814117129,2,0.16455696202531644,0.2375,0.2125,0.21518987341772153,0.11392405063291139,0.18873417721518987,0.044325876053775026,7,0.24761904761904763,0.35514018691588783,0.3119266055045872,0.3119266055045872,0.18556701030927836,0.28243589117067763,0.05936516109283988,6,0.6978099256580269,0.7323646496815287,0.7046178343949044,0.7177295815528502,0.6970491010239458,0.7099142184622512,0.01345495148523425,3,0.43961091017859677,0.49916394487683724,0.4240840425441703,0.40222219373861473,0.40522047798003097,0.43406031386365,0.035253992417548584,4,0.5616435603777377,0.6060111464968153,0.5871417197452229,0.5868942997661856,0.5426308151253729,0.5768643083022669,0.02217822046038761,6,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.016759252548217772,0.0025758622072818062,0.014056634902954102,0.0015144755117175305,1.0,balanced,"{'model__C': 1, 'model__class_weight': 'balanced'}",0.6776649746192893,0.6878172588832487,0.6903553299492385,0.7150127226463104,0.732824427480916,0.7007349427158006,0.02020107114481924,7,0.32608695652173914,0.35570469798657717,0.34558823529411764,0.3795620437956204,0.3898305084745763,0.3593544884145261,0.023007357373506745,7,0.569620253164557,0.6625,0.5875,0.6582278481012658,0.5822784810126582,0.6120253164556961,0.03991722026446785,3,0.4147465437788018,0.462882096069869,0.4351851851851852,0.48148148148148145,0.467005076142132,0.4522600765314938,0.024012287995599447,3,0.6965641952983725,0.7297372611464967,0.7041799363057324,0.7132951705232605,0.6889059098605176,0.706536494626876,0.01414067118062148,6,0.41681211904663246,0.49379626752405154,0.429677000003182,0.4013508587468353,0.4093823000033695,0.4302037090648142,0.03313500760168283,7,0.6371910789632309,0.6783837579617834,0.65203025477707,0.6937636055792953,0.6764895589776667,0.6675716512518093,0.02023345436733166,3,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.016843128204345702,0.0011679025577923969,0.01662745475769043,0.0021716973483184077,1.0,,"{'model__C': 1, 'model__class_weight': None}",0.799492385786802,0.8197969543147208,0.8096446700507615,0.8091603053435115,0.8015267175572519,0.8079242066106096,0.007175981342847599,3,0.5,0.68,0.5806451612903226,0.5666666666666667,0.5263157894736842,0.5707255234861346,0.061692963776545734,3,0.17721518987341772,0.2125,0.225,0.21518987341772153,0.12658227848101267,0.19129746835443037,0.03617353003172259,5,0.2616822429906542,0.3238095238095238,0.32432432432432434,0.3119266055045872,0.20408163265306123,0.28516486585643014,0.046624001904972186,5,0.6952380952380952,0.7319665605095542,0.7021894904458598,0.7130129807304685,0.6935015722002743,0.7071817398248503,0.014163409850636497,5,0.429003833231914,0.50276189490263,0.4195140929673572,0.3983548148819118,0.4084525925673536,0.4316174457102333,0.03703476150712251,5,0.5663853727144866,0.5935111464968152,0.5917993630573248,0.5868942997661856,0.5489599290494236,0.5775100222168471,0.017246167988398352,5,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.018499088287353516,0.0038505457505412168,0.018451976776123046,0.0037773882395056853,10.0,balanced,"{'model__C': 10, 'model__class_weight': 'balanced'}",0.6776649746192893,0.6878172588832487,0.6852791878172588,0.7150127226463104,0.7353689567430025,0.700228620141822,0.02163357787187087,8,0.32608695652173914,0.35570469798657717,0.34057971014492755,0.3795620437956204,0.39316239316239315,0.35901916032225145,0.024589833024043245,8,0.569620253164557,0.6625,0.5875,0.6582278481012658,0.5822784810126582,0.6120253164556961,0.03991722026446785,3,0.4147465437788018,0.462882096069869,0.43119266055045874,0.48148148148148145,0.46938775510204084,0.45193810739653034,0.024942566085415847,4,0.6963632710468154,0.7296576433121018,0.7044984076433121,0.7129726679029267,0.6877771506893494,0.7062538281189011,0.01438870114165211,8,0.41636844729238,0.493948958666263,0.4307704313926265,0.40242699741463006,0.4086420684566422,0.43043138064450837,0.03314025761315706,6,0.6371910789632309,0.6783837579617834,0.6488455414012739,0.6937636055792953,0.6780819156655649,0.6672531799142297,0.020911838866056673,4,"{'model__C': 0.01, 'model__class_weight': None}",,,,
logistic_regression,grid,0.02068929672241211,0.002067643069353345,0.022504091262817383,0.001847315246308445,10.0,,"{'model__C': 10, 'model__class_weight': None}",0.799492385786802,0.8147208121827412,0.8096446700507615,0.806615776081425,0.8040712468193384,0.8069089781842138,0.005131340759896316,4,0.5,0.64,0.5806451612903226,0.5517241379310345,0.55,0.5644738598442715,0.045814049085748924,4,0.17721518987341772,0.2,0.225,0.20253164556962025,0.13924050632911392,0.18879746835443037,0.02903373657174387,6,0.2616822429906542,0.3047619047619048,0.32432432432432434,0.2962962962962963,0.2222222222222222,0.2818573981190804,0.03605531615490317,7,0.6947960618846695,0.7313694267515923,0.7010748407643311,0.7116423445940498,0.6935821978553575,0.7064929743700001,0.01398725119862632,7,0.42407346024291187,0.49924658095978947,0.4173837072325771,0.3983843386039149,0.40656934029158065,0.42913148546615487,0.03615012576385454,8,0.5663853727144866,0.5856687898089172,0.5917993630573248,0.580565185842135,0.5552890429734741,0.5759415508792676,0.01330649471840559,7,"{'model__C': 0.01, 'model__class_weight': None}",,,,
random_forest,randomized,0.9227047443389893,0.019665831920756195,0.5827740669250489,0.05847237375640958,,balanced_subsample,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.7868020304568528,0.8045685279187818,0.7791878172588832,0.7837150127226463,0.811704834605598,0.7931956445925523,0.012640510267151695,10,0.45901639344262296,0.5263157894736842,0.4444444444444444,0.45,0.5714285714285714,0.49024103975786454,0.05016861733484031,8,0.35443037974683544,0.375,0.35,0.34177215189873417,0.25316455696202533,0.334873417721519,0.04229742621082572,9,0.4,0.43795620437956206,0.3916083916083916,0.38848920863309355,0.3508771929824561,0.3937861995207007,0.02779778569416565,9,0.7052843078159534,0.7275477707006369,0.7260748407643313,0.7250262033379021,0.7243408852696926,0.7216548015777032,0.008256370787794242,7,0.43120327616159027,0.5073331976430251,0.470729944466879,0.43819649165613545,0.4439931963181568,0.45829122124915733,0.027935016475080166,1,0.6248342374924654,0.6445063694267517,0.6192675159235669,0.6183383052487301,0.6026969281625414,0.6219286712508112,0.013476106173716052,9,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,3.0,,
random_forest,randomized,0.4892604827880859,0.005642868924464696,0.45125641822814944,0.017588763441533217,,balanced_subsample,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.7842639593908629,0.7969543147208121,0.7614213197969543,0.7837150127226463,0.8193384223918575,0.7891386058046266,0.01894486585317595,11,0.4625,0.5,0.4125,0.4625,0.5740740740740741,0.48231481481481475,0.05365051644627467,11,0.46835443037974683,0.4625,0.4125,0.46835443037974683,0.3924050632911392,0.4408227848101266,0.032038541072968385,4,0.46540880503144655,0.4805194805194805,0.4125,0.46540880503144655,0.46616541353383456,0.45800050082324156,0.023468411807276813,4,0.70042194092827,0.7421576433121019,0.7332006369426751,0.7328065790534548,0.7144642425219705,0.7246102085516944,0.015079133485132115,3,0.402125831425788,0.5301475840484866,0.47499886444984407,0.4415608225732668,0.4310572557853997,0.455978071656557,0.043799258075058696,3,0.6659232469359052,0.6723328025477707,0.6314092356687898,0.6657058776102556,0.6595783278239136,0.658989898117327,0.014368354085623132,4,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,5.0,10,
