model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,training_score,validation_score,overfitting_gap,training_time_seconds,prediction_time_seconds,true_negative,false_positive,false_negative,true_positive
Information Gain Decision Tree,0.8136363636363636,0.41935483870967744,0.3611111111111111,0.3880597014925373,0.6316425120772947,0.25597914630172697,1.0,0.8136363636363636,0.1863636363636364,0.019035000004805624,0.010591999991447665,166,18,23,13
Gini Index Decision Tree,0.8,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.567632850241546,0.20134680134680136,1.0,0.8,0.19999999999999996,0.010208500010776334,0.004581999994115904,168,16,28,8
Naive Bayes,0.6545454545454545,0.2872340425531915,0.75,0.4153846153846154,0.7166364734299517,0.39769595053821016,0.6477272727272727,0.6545454545454545,-0.006818181818181834,0.003741199994692579,0.00565669999923557,117,67,9,27
Support Vector Machine,0.8545454545454545,1.0,0.1111111111111111,0.2,0.8131038647342995,0.549510359459041,0.9079545454545455,0.8545454545454545,0.05340909090909096,0.16791220000595786,0.029981100000441074,184,0,32,4
