model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,1.6,3,10,124,0.6966292134831461,0.2553569478634023,23.70912744207398,1.0683718094483077,0.006699999999909778
DBSCAN,1.6,4,7,144,0.8089887640449438,0.3127579866781996,26.915866045171537,0.9417278100068598,0.005186700000194833
DBSCAN,1.6,5,3,162,0.9101123595505618,0.5020707127556026,38.338592158539,0.7062667924633246,0.004476900001463946
DBSCAN,1.6,6,1,172,0.9662921348314607,,,,0.004689600000347127
DBSCAN,1.6,8,0,178,1.0,,,,0.005532499999389984
DBSCAN,1.6,10,0,178,1.0,,,,0.004157100000156788
DBSCAN,1.7,3,10,109,0.6123595505617978,0.2337584577236068,25.23141745555869,1.1911444615744713,0.004731200000605895
DBSCAN,1.7,4,10,122,0.6853932584269663,0.2627788656923224,26.629744007987803,1.1393788967112495,0.006345600000713603
DBSCAN,1.7,5,6,145,0.8146067415730337,0.3943163220407526,32.23571146772091,0.8697354232290814,0.006233699999938835
DBSCAN,1.7,6,3,160,0.898876404494382,0.4746380203830063,39.024020433795755,0.7744899668210348,0.005393900000854046
DBSCAN,1.7,8,0,178,1.0,,,,0.005237599998508813
DBSCAN,1.7,10,0,178,1.0,,,,0.006081200001062825
DBSCAN,1.8,3,8,90,0.5056179775280899,0.3115798453907033,32.86380903885165,1.2053507811124484,0.005768400000306428
DBSCAN,1.8,4,9,103,0.5786516853932584,0.2248956996062123,30.86392680190499,1.3575922918013166,0.006390799999280716
DBSCAN,1.8,5,7,118,0.6629213483146067,0.24618705644269967,30.672360255505918,1.293793183965756,0.003213800000594347
DBSCAN,1.8,6,6,138,0.7752808988764045,0.3058981207941178,31.767652464086147,1.1623497451268376,0.006044699999620207
DBSCAN,1.8,8,1,170,0.9550561797752809,,,,0.006054299999959767
DBSCAN,1.8,10,0,178,1.0,,,,0.006424799999876996
DBSCAN,1.9,3,9,75,0.42134831460674155,0.29034145804366857,33.24000704931657,1.3145002287928438,0.006006600000546314
DBSCAN,1.9,4,8,88,0.4943820224719101,0.32066777641227673,32.24075872014578,1.1618660145570323,0.004893799999990733
DBSCAN,1.9,5,6,103,0.5786516853932584,0.34899300476447404,33.10345490787254,1.0683527768638974,0.005854099999851314
DBSCAN,1.9,6,4,119,0.6685393258426966,0.43494372774504964,38.30659807232491,0.8555914727984516,0.004611700000168639
DBSCAN,1.9,8,2,148,0.8314606741573034,0.5855946889771352,55.14689978477412,0.5854856731310225,0.006094200000006822
DBSCAN,1.9,10,0,178,1.0,,,,0.005193700000745594
DBSCAN,2.0,3,5,64,0.3595505617977528,0.2113478749139378,20.05594705355445,1.3438040296694536,0.00792619999992894
DBSCAN,2.0,4,6,66,0.3707865168539326,0.22089188685223402,16.436411314047138,1.4793295699866862,0.006432000000131666
DBSCAN,2.0,5,5,85,0.47752808988764045,0.24046128028458877,18.750585887626638,1.0472266298204929,0.00792399999954796
DBSCAN,2.0,6,3,100,0.5617977528089888,0.2817202861814033,22.56399731452098,0.9250836545356073,0.007519299999330542
DBSCAN,2.0,8,3,117,0.6573033707865169,0.4359644628271135,40.56281137751171,0.7576084071600722,0.008224200000768178
DBSCAN,2.0,10,1,139,0.7808988764044944,,,,0.008323399999426329
DBSCAN,2.1,3,4,52,0.29213483146067415,0.009242214405126724,25.304771831129123,2.090373950222087,0.0064281000013579614
DBSCAN,2.1,4,3,57,0.3202247191011236,0.21063491848711455,35.873566573959266,1.8568217878469213,0.008060099999056547
DBSCAN,2.1,5,3,62,0.34831460674157305,0.22166099228571923,34.77860195395065,1.7293542702615836,0.008121999999275431
DBSCAN,2.1,6,3,70,0.39325842696629215,0.2332649529931388,30.640762920149598,1.6252230961369805,0.00664399999914167
DBSCAN,2.1,8,3,94,0.5280898876404494,0.2430763508155864,23.32613743424519,0.9780920323457365,0.007607300000017858
DBSCAN,2.1,10,2,115,0.6460674157303371,0.4227574868580171,53.19426465945906,0.9161556618871473,0.0071351999995385995
DBSCAN,2.2,3,3,44,0.24719101123595505,0.07254840800799305,36.58117980169693,1.727266104472199,0.007645399999091751
DBSCAN,2.2,4,2,48,0.2696629213483146,0.34009312403712105,70.76107518050176,1.1596174973861508,0.006558900000527501
DBSCAN,2.2,5,2,55,0.3089887640449438,0.34801201341316823,68.3906268500807,1.1244353385359391,0.006505700001071091
DBSCAN,2.2,6,2,58,0.3258426966292135,0.3502150068857764,66.44284903540215,1.1099233219807971,0.005985300000247662
DBSCAN,2.2,8,2,67,0.37640449438202245,0.3504644890243925,60.81111539055091,1.0872556324417249,0.0062278999994305195
DBSCAN,2.2,10,2,89,0.5,0.39397055656887603,47.119263167374,0.9197105877430628,0.005975699999908102
DBSCAN,2.3,3,3,32,0.1797752808988764,0.2248626022082661,38.27435832950725,1.14540020140831,0.005745400001615053
DBSCAN,2.3,4,2,36,0.20224719101123595,0.32540055135427715,71.195376670148,1.1978883446051771,0.006238300000404706
DBSCAN,2.3,5,2,42,0.23595505617977527,0.3307344745314195,70.46512768862956,1.1815317805398353,0.007069299999784562
DBSCAN,2.3,6,2,46,0.25842696629213485,0.3356800368747699,69.38900339441885,1.1635195467097796,0.0075486999994609505
DBSCAN,2.3,8,2,52,0.29213483146067415,0.342166483197143,66.90394405272379,1.1261427185188877,0.007226200001241523
DBSCAN,2.3,10,2,64,0.3595505617977528,0.36411295156115975,64.74143009970243,1.048404938795447,0.007673699999941164
DBSCAN,2.4,3,2,28,0.15730337078651685,0.31417482044904627,72.41764114616582,1.2519416971891482,0.00743039999906614
DBSCAN,2.4,4,2,33,0.1853932584269663,0.3226831981177392,72.68833309736627,1.208907701505382,0.006038800000169431
