model,linkage,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds,cluster_size_summary
AgglomerativeClustering,ward,2,0.2670131771272231,65.36083820586111,1.4117573895082869,0.013321800000994699,0:122; 1:56
AgglomerativeClustering,ward,3,0.2774439826952265,67.6474675044098,1.4185919431857321,0.0029993000007380033,0:58; 1:56; 2:64
AgglomerativeClustering,ward,4,0.225836659334758,51.46414629882823,1.7886506143765981,0.0029279999998834683,0:56; 1:30; 2:64; 3:28
AgglomerativeClustering,ward,5,0.18674235566758707,43.67927204722387,1.9228554600490608,0.0023277000000234693,0:64; 1:30; 2:36; 3:28; 4:20
AgglomerativeClustering,ward,6,0.17966642854438503,39.128963791543676,1.812287819132039,0.002871200000299723,0:30; 1:58; 2:36; 3:28; 4:20; 5:6
AgglomerativeClustering,ward,7,0.18685342560226942,36.290501971823375,1.6616161192156924,0.0023105000000214204,0:27; 1:58; 2:36; 3:28; 4:20; 5:6; 6:3
AgglomerativeClustering,ward,8,0.18834697102837825,34.02139789850827,1.5513582360012936,0.0028151000005891547,0:36; 1:58; 2:9; 3:28; 4:20; 5:6; 6:3; 7:18
AgglomerativeClustering,ward,9,0.1917169293227209,32.4603034552054,1.5451538917358283,0.0022669999998470303,0:18; 1:58; 2:9; 3:28; 4:20; 5:6; 6:3; 7:18; 8:18
AgglomerativeClustering,ward,10,0.19856750165505588,30.53667348613561,1.4755086290839636,0.0032081000008474803,0:58; 1:28; 2:9; 3:18; 4:20; 5:6; 6:3; 7:12; 8:18; 9:6
AgglomerativeClustering,complete,2,0.16186821075824512,36.31083356649205,2.0146324876890547,0.0029003999989072327,0:109; 1:69
AgglomerativeClustering,complete,3,0.20378689690677748,48.989830186289424,1.8960960515907337,0.0024171999993995996,0:69; 1:58; 2:51
AgglomerativeClustering,complete,4,0.19382526203175696,44.720175786324646,1.7157398449662022,0.0030958000006648945,0:58; 1:57; 2:51; 3:12
AgglomerativeClustering,complete,5,0.18836501623937577,42.76668388487237,1.6913454459811024,0.0028860999991593417,0:51; 1:57; 2:48; 3:12; 4:10
AgglomerativeClustering,complete,6,0.1754908860501433,36.385178238507386,1.5303772496092876,0.004048100001455168,0:57; 1:49; 2:48; 3:12; 4:10; 5:2
AgglomerativeClustering,complete,7,0.18859621372810872,33.952652160979234,1.5085355596728431,0.00582369999938237,0:6; 1:49; 2:48; 3:12; 4:10; 5:2; 6:51
AgglomerativeClustering,complete,8,0.19060072208172285,30.692534641724716,1.4164209315559857,0.0046714999989490025,0:49; 1:10; 2:48; 3:12; 4:3; 5:2; 6:51; 7:3
AgglomerativeClustering,complete,9,0.1783273301236331,29.432044268735257,1.456759078374869,0.004601300001013442,0:48; 1:10; 2:40; 3:12; 4:3; 5:2; 6:51; 7:3; 8:9
AgglomerativeClustering,complete,10,0.17264309292642235,28.55385454064515,1.507110786551271,0.004597999999532476,0:10; 1:12; 2:40; 3:33; 4:15; 5:2; 6:51; 7:3; 8:9; 9:3
AgglomerativeClustering,average,2,0.2591060736265412,2.664687244251712,0.5949803101789136,0.0028115000004618196,0:177; 1:1
AgglomerativeClustering,average,3,0.15752526243774145,4.031439116485448,1.0298902169850324,0.003585200000088662,0:174; 1:1; 2:3
AgglomerativeClustering,average,4,0.14900318238951352,4.826453621011632,1.1217328624838314,0.003603899998779525,0:170; 1:4; 2:3; 3:1
AgglomerativeClustering,average,5,0.22945756295901437,22.27391901717578,1.1416303879309866,0.004514099999141763,0:116; 1:54; 2:3; 3:1; 4:4
AgglomerativeClustering,average,6,0.21467336232151293,19.424541616276308,1.1495107682528882,0.004397400000016205,0:54; 1:113; 2:3; 3:1; 4:4; 5:3
AgglomerativeClustering,average,7,0.1924723214980204,17.329276847062047,1.0825473166637343,0.00351790000058827,0:113; 1:4; 2:3; 3:1; 4:52; 5:3; 6:2
AgglomerativeClustering,average,8,0.26629691418926393,29.925743211914778,1.016697539819912,0.0033488999997643987,0:4; 1:55; 2:3; 3:58; 4:52; 5:3; 6:2; 7:1
AgglomerativeClustering,average,9,0.25509618304897214,26.766506323626288,0.9375289922474119,0.0026562000002741115,0:55; 1:52; 2:3; 3:58; 4:3; 5:3; 6:2; 7:1; 8:1
AgglomerativeClustering,average,10,0.21400132710455172,24.286611154102406,0.9029741436438853,0.002781499999400694,0:3; 1:52; 2:54; 3:58; 4:3; 5:3; 6:2; 7:1; 8:1; 9:1
AgglomerativeClustering,single,2,0.22245060727650925,5.74429160266628,1.0514155755446577,0.002212800000052084,0:175; 1:3
AgglomerativeClustering,single,3,0.18273797160972796,4.061664621973931,0.9105181111836432,0.0025681000006443355,0:174; 1:3; 2:1
AgglomerativeClustering,single,4,0.1810782436950983,3.7659645600791376,0.8193129287372465,0.002444000001560198,0:173; 1:3; 2:1; 3:1
AgglomerativeClustering,single,5,0.14235319849452613,3.544436004724341,0.7714740446011943,0.0025054000016098144,0:172; 1:3; 2:1; 3:1; 4:1
AgglomerativeClustering,single,6,0.12138245821362598,3.307675082999681,0.7486198756799443,0.0024056000002019573,0:171; 1:3; 2:1; 3:1; 4:1; 5:1
AgglomerativeClustering,single,7,0.04982092715350218,3.009037336255582,0.7552332347589212,0.0021802999999636086,0:170; 1:3; 2:1; 3:1; 4:1; 5:1; 6:1
AgglomerativeClustering,single,8,0.024630373630429758,3.193655520910102,0.7682218863166409,0.002220599999418482,0:3; 1:168; 2:1; 3:2; 4:1; 5:1; 6:1; 7:1
AgglomerativeClustering,single,9,0.017473159372953396,2.8413102171429716,0.7383525022706116,0.0018789000005199341,0:168; 1:2; 2:1; 3:2; 4:1; 5:1; 6:1; 7:1; 8:1
AgglomerativeClustering,single,10,-0.006022435803369316,2.7323878016206895,0.7369641091396526,0.002237599999716622,0:167; 1:2; 2:1; 3:2; 4:1; 5:1; 6:1; 7:1; 8:1; 9:1
